Make,Model,Class,Prop diameter ,Motor size,Motor kv,Battery Voltage ,Battery mAh,Dry Weight (g),
BetaFPV ,Beta65x,Whoop,31mm,0802,19500,1S,300,26,https://betafpv.com/collections/all-drone/products/meteor65-brushless-whoop-quadcopter-1s?sca_ref=33559.am0LqC5IEf
BetaFPV,Beta75x ,Whoop,40mm,1103,8000,3S,300,45.3,https://betafpv.com/collections/all-drone/products/beta85x-whoop-quadcopter?sca_ref=33559.am0LqC5IEf 
BetaFPV,Beta75x ,Whoop,40mm,1103,11000,2S,300,41,https://betafpv.com/collections/all-drone/products/beta85x-whoop-quadcopter?sca_ref=33559.am0LqC5IEf 
BetaFPV,Beta85x ,Whoop,"2""",1105,6500,2S,350,58,https://betafpv.com/collections/all-drone/products/beta85x-whoop-quadcopter?sca_ref=33559.am0LqC5IEf 
BetaFPV,Beta85x ,Whoop,"2""",1105,6500,3S,450,58,https://betafpv.com/collections/all-drone/products/beta85x-whoop-quadcopter?sca_ref=33559.am0LqC5IEf 
BetaFPV,Beta85x ,Whoop,"2""",1105,5000,4S,450,68.1,https://betafpv.com/collections/all-drone/products/beta85x-whoop-quadcopter?sca_ref=33559.am0LqC5IEf 
BetaFPV ,Meteor65 SE,Whoop,31mm,0802,19500,1S,300,22.33,https://betafpv.com/collections/all-drone/products/meteor65-brushless-whoop-quadcopter-1s?sca_ref=33559.am0LqC5IEf 
BetaFPV ,Meteor65 SE,Whoop,31mm,0802,22000,1S,300,22.85,https://betafpv.com/collections/all-drone/products/meteor65-brushless-whoop-quadcopter-1s?sca_ref=33559.am0LqC5IEf 
BetaFPV ,Meteor65 SE,Whoop,31mm,0603,19000,1S,300,21.77,https://betafpv.com/collections/all-drone/products/meteor65-brushless-whoop-quadcopter-1s?sca_ref=33559.am0LqC5IEf 
BetaFPV ,Meteor75,Whoop,40mm,1102,18000,1S,450,28.7,https://betafpv.com/collections/all-drone/products/meteor65-brushless-whoop-quadcopter-1s?sca_ref=33559.am0LqC5IEf 
BetaFPV ,Meteor65 ,Whoop,31mm,0802,19500,1S,300,22.32,https://betafpv.com/collections/all-drone/products/meteor65-brushless-whoop-quadcopter-1s?sca_ref=33559.am0LqC5IEf 
BetaFPV ,Meteor65 ,Whoop,31mm,0802,22000,1S,300,22.84,https://betafpv.com/collections/all-drone/products/meteor65-brushless-whoop-quadcopter-1s?sca_ref=33559.am0LqC5IEf 
BetaFPV,Beta85 pro 2,Whoop,"2""",1103,11000,2S,300,42,https://betafpv.com/collections/all-drone/products/beta85-pro2-whoop-quadcopter-2s?sca_ref=33559.am0LqC5IEf 
BetaFPV,Beta75 pro 2,Whoop,40mm,08028,12000,2S,300,28,https://betafpv.com/collections/pro-series/products/beta75-pro-2-brushless-whoop-quadcopter?sca_ref=33559.am0LqC5IEf 
BetaFPV,Beta65 pro 2,Whoop,31mm,0802,12000,2S,300,24,https://betafpv.com/collections/pro-series/products/beta65-pro-2-brushless-whoop-quadcopter?sca_ref=33559.am0LqC5IEf 
Diatone,GT R369,Micro Racer,"3""",1408,2800,6s,650,139,https://www.diatoneusa.com/store/p657/Diatone-2019-GT-R369-SX-3inch-Crazy-Racing-Edition.html
Diatone,GT R349,Micro Racer,"3""",1408,4000,4S,850 ,130,https://www.banggood.com/Diatone-2019-GT-R349-135mm-3-Inch-4S-FPV-Racing-RC-Drone-PNP-w-F4-OSD-25A-RunCam-Micro-Swift-TX200U-p-1377956.html?utm_campaign=1211488_february&utm_content=2635&p=UG06171211488201502B 
Diatone,GT R249,,"2""",1105,5500,4S,450,77,https://www.racedayquads.com/products/diatone-gt-rabbit-r249-2-pnp-racing-drone?variant=19961263128689&aff=2 
Diatone,GT R239,,"2""",1105,5500,3S,350,72,https://usa.banggood.com/Diatone-2019-GT-R239-R90-2-Inch-3S-FPV-Racing-RC-Drone-PNP-w-F4-OSD-25A-RunCam-Micro-Swift-TX200U-p-1377960.html?utm_campaign=1211488_february&utm_content=2635&p=UG06171211488201502B 
Diatone,GT R249+,,65mm,1105,5500,4S,450,77,https://www.racedayquads.com/products/diatone-gt-rabbit-r249-2-pnp-racing-drone?variant=19961263128689&aff=2 
Diatone,GT R249 HD,HD Whoop,"2""",1105,5500,4S,450,85,https://www.racedayquads.com/products/diatone-gt-rabbit-r249-2-pnp-racing-drone?variant=19961263128689&aff=2 
Diatone,GT R349 HD,HD Whoop,"3""",1408,4000,4S,850 ,140,https://www.banggood.com/Diatone-2019-GT-R349-135mm-3-Inch-4S-FPV-Racing-RC-Drone-PNP-w-F4-OSD-25A-RunCam-Micro-Swift-TX200U-p-1377956.html?utm_campaign=1211488_february&utm_content=2635&p=UG06171211488201502B 
Diatone,GT-R249T HD,HD Whoop,65mm,1105,5500,4S,450,86,https://www.racedayquads.com/collections/pre-built-quads-1/products/diatone-pnp-gt-rabbit-r249t-hd-2-5-fpv-racing-drone-deadcat-version?aff=2 
Diatone,Cube 339,Toothpick,"3""",1105,5500,3S,350,58,https://www.racedayquads.com/collections/pre-built-quads-1/products/diatone-cube-339-3-3s-pnp-micro-toothpick-quad-5500kv?aff=2 
Diatone,Cube 239,,65mm,1103,6500,3S,350,43,https://www.racedayquads.com/collections/pre-built-quads-1/products/diatone-cube-239-2-5-3s-pnp-micro-toothpick-quad-6500kv?aff=2 
Diatone,Cube GTB 339 Pro HD,,"3""",1105,5500,3S,450,55,https://www.racedayquads.com/collections/pre-built-quads-1/products/diatone-pnp-cube-gtb-339-pro-hd-3-3s-micro-toothpick-quad-w-runcam-split-3-nano?aff=2 
Diatone,Cube GTB 339 Pro,,"3""",1105,5500,3S,450,55,https://www.racedayquads.com/collections/pre-built-quads-1/products/diatone-pnp-cube-339-pro-3-3s-micro-toothpick-quad?aff=2 
Diatone,Cube GTB 329 Pro,,"3""",1103,6500,2S,450,46,https://www.racedayquads.com/collections/pre-built-quads-1/products/diatone-pnp-cube-329-pro-3-2s-micro-toothpick-quad?aff=2 
Diatone,Cube GTB 229 Pro HD,,65mm,1103,8500,2S,250,46,https://www.racedayquads.com/collections/pre-built-quads-1/products/diatone-pnp-cube-gtb-229-pro-hd-2-5-2s-micro-toothpick-quad-w-runcam-split-3-nano?aff=2 
Diatone,Spec Cube 229,,65mm,1103,8500,2S,450,43,https://www.diatoneusa.com/store/p659/Diatone_Toothpick_Cube_229_8500_PNF.html
Diatone,GT-M540,,"5""",2308,1950,6S,1250,345,https://www.racedayquads.com/collections/pre-built-quads-1/products/diatone-gt-m540-5-pnp-racing-drone-stretch-x-6s-version?aff=2 
Diatone,GT M530 V3,,"5""",2306,2450,4S,1500,225,https://www.racedayquads.com/collections/pre-built-quads-1/products/diatone-gt-m530-v3-5-pnp-racing-drone-stretch-x?aff=2 
Diatone,GT M515,,"5""",1806,2500,6S,1000,180,https://www.racedayquads.com/collections/pre-built-quads-1/products/diatone-gt-m515-5-pnp-racing-drone-normal-x-split?aff=2 
Diatone,GT Tyrant M530,,"5""",2306,2450,4S,1500,315,https://www.racedayquads.com/collections/pre-built-quads-1/products/diatone-gt-tyrant-530-5-pnp-fpv-racing-drone-4s-version?aff=2 
Diatone,GT X549 Exorcist,,"5""",2306,2700,4S,1500,N/A,https://www.getfpv.com/diatone-gt-x549-exorcist-5-racing-drone-pnp.html?cmid=eHZ3Y2tBWGYrQWM9&afid=bXNoK0JSMUViaGc9&ats=ZFNOTFdoUEM1V2s9
Diatone,AirBlade Intrepid V2 HD,,"3""",1408,4000,3S,850,156,https://www.racedayquads.com/collections/pre-built-quads-1/products/diatone-pnp-tmc-airblade-hd-3-fpv-racing-drone-w-caddx-turtle-v2?aff=2 
Diatone,AirBlade Intrepid V2 HD,,"3""",1408,4000,4S,550,156,https://www.racedayquads.com/collections/pre-built-quads-1/products/diatone-pnp-tmc-airblade-hd-3-fpv-racing-drone-w-caddx-turtle-v2?aff=2 
Diatone,AirBlade Intrepid V2 4K HD,,"3""",1408,4000,3S,850,156,https://www.racedayquads.com/collections/pre-built-quads-1/products/diatone-pnp-airblade-intrepid-v2-hd-3-cine-drone-w-caddx-tarsier-v2?aff=2 
Diatone,AirBlade Intrepid V2 4K HD,,"3""",1408,4000,4s,550,156,https://www.racedayquads.com/collections/pre-built-quads-1/products/diatone-pnp-airblade-intrepid-v2-hd-3-cine-drone-w-caddx-tarsier-v2?aff=2 
Diatone,Cube GTB 229 Pro,,65mm,1103,8500,2S,450,55,https://www.racedayquads.com/collections/pre-built-quads-1/products/diatone-pnp-cube-229-pro-2-5-3s-micro-toothpick-quad?aff=2 
TransTec,Beetle HD Cinewhoop,,65mm,1106,4500,3S,650,134,https://www.racedayquads.com/collections/pre-built-quads-1/products/transtec-bnf-beetle-hd-2-5-cinewhoop-for-dji-with-or-without-air-unit?aff=2 
Iflight,"DC3 HD 3""",,"3""",1404,4600,4S,850,160,https://www.racedayquads.com/collections/pre-built-quads-1/products/iflight-bnf-dc3-hd-3-cinewhoop-quad-w-dji-air-unit-frsky?aff=2 
Iflight,"Cidora SL5-E 5""",Freestyle,"5""",2207,1800,6S,1250,384.2,https://www.racedayquads.com/collections/pre-built-quads-1/products/iflight-bnf-cidora-sl5-e-5-freestyle-quad-frsky-choose-4s-or-6s?aff=2 
Iflight,"Cidora SL5-E 5""",Freestyle,"5""",2207,2450,4S,1500,384.2,https://www.racedayquads.com/collections/pre-built-quads-1/products/iflight-bnf-cidora-sl5-e-5-freestyle-quad-frsky-choose-4s-or-6s?aff=2 
Iflight,"Cidora SL5 5""",Freestyle,"5""",2306,1800,6S,1250,384.2,https://www.racedayquads.com/collections/pre-built-quads-1/products/iflight-bnf-cidora-sl5-e-5-freestyle-quad-frsky-choose-4s-or-6s?aff=2 
Iflight,"Cidora SL5 5""",Freestyle,"5""",2306,2450,4S,1500,384.2,https://www.iflight-rc.com/index.php?route=product/product&path=20_67&product_id=1009
Iflight,Titan DC5 HD,HD Freestyle,"5""",2207,1700,6S,1250,390,https://www.iflight-rc.com/index.php?route=product/product&path=20_67&product_id=1009
Iflight,Titan DC5 HD,HD Freestyle,"5""",2207,2450,4S,1500,390,https://www.racedayquads.com/collections/pre-built-quads-1/products/iflight-bnf-titan-dc5-hd-5-freestyle-quad-w-dji-air-unit-frsky-choose-4s-or-6s?aff=2 
Iflight,Titan DC2 HD,HD Freestyle,65mm,1404,4600,4S,850,165,https://www.iflight-rc.com/index.php?route=product/product&path=20&product_id=1139
Iflight,Cinebee 75HD,HD whoop,40mm,1103,10000,3S,450,66.2,https://www.racedayquads.com/collections/pre-built-quads-1/products/iflight-bnf-cinebee-75hd-2-3s-brushless-whoop-w-split-nano-choose-your-rx?aff=2 
Iflight,Cinebee 75HD,HD whoop,40mm,1103,10000,2S,450,66.2,https://www.racedayquads.com/collections/pre-built-quads-1/products/iflight-bnf-cinebee-75hd-2-3s-brushless-whoop-w-split-nano-choose-your-rx?aff=2 
Iflight,Cinebee 4K,HD whoop,40mm,1103,8000,3S,450,73.4,https://www.iflight-rc.com/index.php?route=product/product&path=20&product_id=1061
Iflight,Cinebee 4K,HD whoop,40mm,1103,8000,2S,450,73.4,https://www.iflight-rc.com/index.php?route=product/product&path=20&product_id=1061
Iflight,TurboBee 136RS,Micro Racer,"3""",1104,4200,4S,450,60.5,https://www.racedayquads.com/collections/pre-built-quads-1/products/iflight-bnf-turbobee-136rs-micro-4s-racing-drone-choose-your-rx?aff=2 
Iflight,TurboBee 120RS,Micro Racer,65mm,1103,10000,2S,450,53.1,https://www.racedayquads.com/collections/pre-built-quads-1/products/iflight-bnf-turbobee-120rs-micro-2s-or-4s-racing-drone-choose-your-rx-and-voltage?aff=2 
Iflight,TurboBee 120RS,Micro Racer,65mm,1104,4000,4S,450,60.5,https://www.racedayquads.com/collections/pre-built-quads-1/products/iflight-bnf-turbobee-120rs-micro-2s-or-4s-racing-drone-choose-your-rx-and-voltage?aff=2 
Iflight,MegaBee HD,HD whoop,"3""",1408,3800,4S,1000,295.8,https://www.racedayquads.com/collections/pre-built-quads-1/products/iflight-bnf-megabee-hd-3-cinewhoop-quad-w-dji-air-unit-frsky?aff=2 
Iflight,MegaBee V2 4K,HD whoop,"3""",1408,3600,4S,1300,255.9,https://www.iflight-rc.com/index.php?route=product/product&path=20_68&product_id=879
Iflight,Bumblebee,HD whoop,"3""",1507,2800,6S,850,275,https://www.iflight-rc.com/index.php?route=product/product&path=20_68&product_id=1117
Iflight,Bumblebee,HD whoop,"3""",1507,3300,4S,1000,275,https://www.iflight-rc.com/index.php?route=product/product&path=20_68&product_id=1117
Iflight,Bumblebee HD,HD whoop,"3""",1507,2800,6S,850,332,https://www.iflight-rc.com/index.php?route=product/product&path=20_68&product_id=1116
Iflight,Bumblebee HD,HD whoop,"3""",1507,3300,4S,1000,332,https://www.iflight-rc.com/index.php?route=product/product&path=20_68&product_id=1116
Happymodel,"Larva-X HD 2.5-3""",HD Toothpick,65mm,1203,6200,3S,450,63,https://www.racedayquads.com/collections/pre-built-quads-1/products/happymodel-bnf-larva-hd-2-5-2in1-toothpick-drone-choose-your-rx?aff=2 
Happymodel,"Larva-X HD 2.5-3""",HD Toothpick,"3""",1203,6200,2S,450,63,https://www.racedayquads.com/collections/pre-built-quads-1/products/happymodel-bnf-larva-hd-2-5-2in1-toothpick-drone-choose-your-rx?aff=2 
Happymodel,Mobula 6 1S Whoop S,Whoop,31mm,0802,19000,1S,300,20,https://www.racedayquads.com/collections/pre-built-quads-1/products/happymodel-bnf-mobula-6-1s-micro-whoop-quadcopter-race-or-standard?aff=2 
Happymodel,Mobula 6 1S Whoop R,Whoop,31mm,0802,25000,1S,300,20,https://www.racedayquads.com/collections/pre-built-quads-1/products/happymodel-bnf-mobula-6-1s-micro-whoop-quadcopter-race-or-standard?aff=2 
Happymodel,Mobula 7,Whoop,40mm,0806,16000,2S,250,25.9,https://www.racedayquads.com/collections/pre-built-quads-1/products/mobula7-whoop-basic-standard-kit?aff=2 
Happymodel,Mobula 7 HD,HD Whoop,40mm,1102,9000,3S,300,48,https://www.racedayquads.com/collections/pre-built-quads-1/products/happymodel-mobula7-hd-2-3s-bnf-brushless-whoop-frsky-dsmx-flysky?aff=2 
Happymodel,Larva X,Toothpick,65mm,0802,7000,2S,450,50,https://www.racedayquads.com/collections/pre-built-quads-1/products/happymodel-larva-x-2-3s-bnf-2-5-micro-drone-choose-your-rx?aff=2 
Happymodel,Larva X,Toothpick,65mm,0802,7000,3S,350,50,https://www.racedayquads.com/collections/pre-built-quads-1/products/happymodel-larva-x-2-3s-bnf-2-5-micro-drone-choose-your-rx?aff=2 
Emax,Babyhawk,Whoop,65mm,1104,5250,2S,300,60.3,https://www.getfpv.com/emax-babyhawk-85mm-micro-brushless-fpv-quadcopter-pnp-6221.html?cmid=eHZ3Y2tBWGYrQWM9&afid=bXNoK0JSMUViaGc9&ats=ZFNOTFdoUEM1V2s9
Emax,Tinyhawk II,Whoop,40mm,0802,16000,1S,450,31.2,https://www.racedayquads.com/collections/pre-built-quads-1?aff=2 
Emax,Tinyhawk II,Whoop,40mm,0802,16000,2S,300,31.2,https://www.racedayquads.com/collections/pre-built-quads-1?aff=2 
Emax,Tinyhawk S,Whoop,40mm,08025,15500,1S,450,30,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-tinyhawk-s-75mm-bnf-1-2s-racing-whoop-drone-frsky?aff=2 
Emax,Tinyhawk S,Whoop,40mm,08025,15500,2S,300,30,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-tinyhawk-s-75mm-bnf-1-2s-racing-whoop-drone-frsky?aff=2 
Emax,Tinyhawk Freestyle,,65mm,1103,7000,2S,450,46,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-bnf-thfs-tinyhawk-freestyle-micro-drone-frsky?aff=2 
Emax,Tinyhawk 75mm,,40mm,08025,15000,1S,450,29,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-tinyhawk-frsky-bnf-75mm-indoor-racing-drone?aff=2 
Emax,Hawkpro II,Racing,"5""",2306,1700,6S,1250,265,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-bnf-hawk-pro-1700kv-frsky?aff=2 
Emax,Hawkpro II,Racing,"5""",2306,2400,4S,1500,265,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-bnf-hawk-pro-1700kv-frsky?aff=2 
Emax,Hawk Sport,Racing,"5""",2207,1700,6S,1250,265,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-pnp-hawk-sport-2400kv?aff=2 
Emax,Hawk Sport,Racing,"5""",2207,2400,4S,1500,265,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-pnp-hawk-sport-2400kv?aff=2 
Emax,Babyhawk R Pro ,Racing,"4""",1606,3300,4S,1000,150,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-bnf-babyhawk-r-4-frsky?aff=2 
Emax,Babyhawk R Pro ,Racing,"4""",1606,3300,5S,850,150,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-bnf-babyhawk-r-4-frsky?aff=2 
Emax,Babyhawk R Pro ,Racing,"4""",1606,3300,6S,650,150,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-bnf-babyhawk-r-4-frsky?aff=2 
Emax,Babyhawk R ,,"2""",1106,6000,3S,450,82.5,
Emax,Babyhawk R ,,"2""",1106,6000,4S,450,82.5,
Emax,Buzz,Freestyle,"5""",2306,2400,4S,1500,358,https://www.racedayquads.com/collections/pre-built-quads-1/products/pre-order-emax-buzz-5-rtf-freestyle-drone-2400kv?aff=2 
Emax,Buzz,Freestyle,"5""",2306,1700,6S,1250,356,https://www.racedayquads.com/collections/pre-built-quads-1/products/pre-order-emax-buzz-5-rtf-freestyle-drone-2400kv?aff=2 
Holybro,Kopis 2 HDV,HD Racing,"5""",2207,1750,6S,1250,336,https://www.racedayquads.com/collections/pre-built-quads-1/products/holybro-bnf-kopis-2-hdv-5-racing-drone-with-or-without-air-unit?aff=2 
Holybro,Kopis 2 ,Racing,"5""",2207,1750,6S,1250,325,https://www.racedayquads.com/collections/pre-built-quads-1/products/holybro-pnp-kopis-2-6s-5-racing-drone?aff=2 
Holybro,Kopis CineWhoop,Cinewhoop,"3""",1507,3800,4S,1000,274,https://www.racedayquads.com/collections/pre-built-quads-1/products/holybro-bnf-kopis-cinewhoop-3-drone-for-dji-with-or-without-air-unit?aff=2 
Holybro,Kopis 2 SE,Racing,"5""",2306,2400,4S,1500,299,https://www.racedayquads.com/collections/pre-built-quads-1/products/holybro-kopis-2-pnp-fpv-racing-drone-5?aff=2 
GEPRC,Elegant,Freestyle,"5""",2306,2450,4S,1500,348,https://geprc.com/product/gep-elegant-pnp/
GEPRC,Pika,Racing,"5""",2306,2450,4S,1500,320,https://geprc.com/product/gep-pika-pnp/
GEPRC,Dolphin,Racing,"4""",1507,3600,4S,850,136,https://geprc.com/product/dolphin-toothpick-drone-4inch/
GEPRC,CineRun HD3,Cinewhoop,"3""",1404,3850,4S,850,203,https://geprc.com/product/cinerun-hd3-dji-air-unit-for-cinewhoop-hd-fpv/
GEPRC,CineRun HD3,Freestyle,"3""",1507,3600,4S,850,200,https://geprc.com/product/run-hd3-dji-air-unit-for-freestyle-hd-fpv/
GEPRC,CinePro 4K F7,Cinewhoop,"2""",1105,5000,4S,650,125,https://www.racedayquads.com/collections/pre-built-quads-1/products/geprc-cinepro-4k-f7-bnf-cinewhoop-choose-your-rx?aff=2 
GEPRC,CinePro 4K ,Cinewhoop,"2""",1105,5000,4S,650,99,https://www.racedayquads.com/collections/pre-built-quads-1/products/geprc-cinepro-4k-f7-bnf-cinewhoop-choose-your-rx?aff=2 
GEPRC,CineEye,Cinewhoop,40mm,1102,10000,3S,300,60,https://geprc.com/product/cineeye-hd-cinewhoop-drone/
GEPRC,CineQueen 4K,Cinewhoop,"3""",1206,3600,4S,850,156,https://www.racedayquads.com/collections/pre-built-quads-1/products/geprc-bnf-cinequeen-4k-3-micro-cinewhoop-w-runcam-hybrid-choose-your-rx?aff=2 
GEPRC,CineKing,Cinewhoop,"2""",1103,8000,2S,650,88,https://geprc.com/product-category/drones/?fbclid=IwAR3YxB5440ij0xfZT4l4u_e5BGhakCufVjcRtfn4iwf2TYNn4abNV6jmOLE
GEPRC,CineKing,Cinewhoop,"2""",1105,5000,3S,550,99,https://geprc.com/product-category/drones/?fbclid=IwAR3YxB5440ij0xfZT4l4u_e5BGhakCufVjcRtfn4iwf2TYNn4abNV6jmOLE
GEPRC,CineKing,Cinewhoop,"2""",1105,5000,4S,450,99,https://geprc.com/product-category/drones/?fbclid=IwAR3YxB5440ij0xfZT4l4u_e5BGhakCufVjcRtfn4iwf2TYNn4abNV6jmOLE
GEPRC,Phantom,Freestyle,65mm,1103,8000,2S,450,51,https://www.racedayquads.com/collections/pre-built-quads-1/products/geprc-phantom-bnf-micro-quad-choose-your-rx?aff=2 
GEPRC,Phantom,Freestyle,65mm,1103,8000,3S,300,51,https://www.racedayquads.com/collections/pre-built-quads-1/products/geprc-phantom-bnf-micro-quad-choose-your-rx?aff=2 
GEPRC,Gep - MX3,Racing,"3""",1408,3500,4S,450,141.8,https://geprc.com/product/geprc-gep-mx3-pnpbnf/
GEPRC,Gep - MX3,Racing,"3""",1408,3500,3S,550,141.8,https://geprc.com/product/geprc-gep-mx3-pnpbnf/
GEPRC,Hummingbird,Racing,"2""",1106,6000,4S,450,85,https://geprc.com/product/geprc-hummingbird-pnp/
GEPRC,Sparrow,Racing,"3""",1408,3750,4S,450,154.4,https://geprc.com/product/gep-sparrow-v2-pnp/
